USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
12320,99999,VINJEORA II,NO,,,62.45,7.85,67,19730101,20250824
12330,99999,DOMBAAS,NO,,,62.083,9.117,638,20061121,20250824
12340,99999,ORKDAL-THAMSHAMN,NO,,,63.317,9.85,4,20061121,20250824
12370,99999,HITRA,NO,,,63.517,9.117,13,20050402,20250824
12380,99999,FOKSTUA II,NO,,,62.117,9.283,974,19730101,20250824
12390,99999,HJERKINN II,NO,,,62.217,9.55,1012,20100907,20250824
12400,99999,HALTEN FYR,NO,,,64.167,9.4,16,19850110,20250824
12410,99999,ORLAND,NO,,ENOL,63.699,9.604,8.5,19730101,20250824
12420,99999,AFJORD II,NO,,,63.967,10.217,30,20080115,20250824
12450,99999,OPPDAL-SETER,NO,,,62.6,9.667,606,19760201,20250824
12500,99999,FOLLDAL-FREDHEIM,NO,,,62.133,10,694,20110928,20250824
12530,99999,SOKNEDAL,NO,,,62.95,10.183,299,20090112,20250824
12540,99999,KOTSOY,NO,,,62.983,10.55,127,20090112,20250824
12570,99999,TRONDHEIM/VOLL,NO,,,63.417,10.45,131.5,20040406,20250824
12590,99999,BUHOLMRASA LH,NO,,,64.4,10.45,18.4,19730101,20250824
12620,99999,NORDOYAN FYR,NO,,,64.8,10.55,33,19280102,20250824
12650,99999,TYNSET-HANSMOEN,NO,,,62.267,10.733,482.3,19490101,20250824
12700,99999,KVITHAMAR,NO,,,63.483,10.883,40,20111003,20250807
12710,99999,VAERNES / TRONDHEIM,NO,,ENVA,63.458,10.94,17.1,19400413,20250824
12720,99999,FROSTA,NO,,,63.567,10.7,70,20110929,20250824
12730,99999,SELBU,NO,,,63.233,11.017,160,20071016,20250824
12770,99999,STEINKJER,NO,,,64.017,11.45,80,19730101,20250824
12810,99999,NAMSSKOGAN,NO,,,64.733,12.85,140,20070105,20250824
12820,99999,RORVIK/RYUM,NO,,ENRM,64.837,11.143,5,19950901,20250824
12870,99999,SOLENDET,NO,,,62.683,11.817,747,20080115,20250824
12880,99999,ROROS,NO,,,62.567,11.383,630,19730101,20250824
12900,99999,NAMSOS AIRPORT,NO,,ENNM,64.467,11.583,2,19730401,20250824
12910,99999,GARTLAND,NO,,,64.533,12.383,95,20090112,20250824
12930,99999,MERAKER-EGGE,NO,,,63.417,11.733,171,20050215,20250824
13000,99999,GULLFAKS C,NO,,,61.2,2.267,78,20010601,20250824
13005,99999,STATFJORD OIL PLATFORM HELIPORT,FO,,ENSF,61.25,1.85,117.7,19841204,20250824
13040,99999,YTTEROYANE FYR,NO,,,61.567,4.683,25,19840901,20250824
13070,99999,FEDJE,NO,,,60.75,4.717,20,20050218,20250824
13080,99999,FURUNESET,NO,,,61.3,5.05,7,20110928,20250807
13100,99999,FLORO,NO,,ENFL,61.584,5.025,11.3,19800407,20250824
13110,99999,FLESLAND / BERGEN,NO,,ENBR,60.293,5.218,51.8,19730101,20250824
13140,99999,FOSSMARK,NO,,,60.517,5.717,10,20120615,20250824
13150,99999,EVANGER,NO,,,60.633,6.1,17,20101214,20250824
13170,99999,BERGEN/FLORIDA,NO,,,60.383,5.333,36,19730101,20250824
13190,99999,TAKLE,NO,,,61.033,5.383,38,19730101,20250824
13200,99999,SANDANE/ANDA,NO,,ENSD,61.833,6.117,60,19810904,20250824
13210,99999,STRYN,NO,,,61.9,6.55,208,19730101,20250824
